Sector,Sector Desc,Part No,Part Desc,Alt.Part No,Alt.Part Desc,Product Category,Product Category Desc,MRP,HSN
MT01,Truck & Bus Division,0081528,CLIP BRAKE TUBE.,,,CV,Commercial Vehicles & Common Parts,6.00,83023090
MT01,Truck & Bus Division,0024615,DI-HEX.HEAD FLANGE BOLT M 6 X 1-12,,,CV,Commercial Vehicles & Common Parts,6.00,73181500
MT01,Truck & Bus Division,0024518,FLDG. H. BOLT M6 X 1.0 X 25,,,,,6.00,73181500
MT01,Truck & Bus Division,0050337,WASHER COPPER,,,CV,Commercial Vehicles & Common Parts,6.00,74152100
MT01,Truck & Bus Division,SF0501006,RIVET RD HD M10X22 ST BO,,,,,6.00,73182300
MT01,Truck & Bus Division,SF0202091,SCREW HEX FL M6X1X12X6.8,,,CV,Commercial Vehicles & Common Parts,6.00,73181500
MT01,Truck & Bus Division,6604FAL00080N,SLOTTED PIN,,,,,6.00,87089900
MT01,Truck & Bus Division,SF0202017,SCREW HEX FL M6X1X15X8.8XGR,,,CV,Commercial Vehicles & Common Parts,6.00,73181500
MT01,Truck & Bus Division,SF0202007,SCREW HEX FL M8X1.25X17X8.8XPH,,,CV,Commercial Vehicles & Common Parts,6.00,73181500
MT01,Truck & Bus Division,7104CAH00160N,SPEED NUT M14,,,,,6.00,87089900
MT01,Truck & Bus Division,6604DAM00540N,CIRCLIP 4TH/5TH HUB 2.0,,,,,6.00,87089900
MT01,Truck & Bus Division,SF0601146,CIRCLIP EXT   LUG 16 0X1 50XPH,,,,,6.00,73182910
MT01,Truck & Bus Division,6110AAK00850N,BRKT CONNECTION BIW,,,,,6.00,87089900
MT01,Truck & Bus Division,SF0202331,SCREW HEX FL M6X1X30X8.8,,,,,6.00,73181900
MT01,Truck & Bus Division,7003AAA00370N,SHIM REAR AXLE BEARING 0 3MM,,,,,6.00,87085000
MT01,Truck & Bus Division,SF0402019,WASHER SPRING L M14X24.1X3XZN5,,,CV,Commercial Vehicles & Common Parts,6.00,73182100
MT01,Truck & Bus Division,0112BAW00690N,BUMPER TC1,,,PV,Passenger Vehicles and Common Parts,6.00,87081090
MT01,Truck & Bus Division,SF0201093,SCREW HEX M8X1.25X20X10.9,,,,,6.00,73181900
MT01,Truck & Bus Division,SF0211009,SCREW FTCS CR SL M6X1X18X8.8,,,CV,Commercial Vehicles & Common Parts,6.00,73181500
MT01,Truck & Bus Division,SF0201061,SCREW HEX M8X1.25X25X8.8XGR,,,CV,Commercial Vehicles & Common Parts,6.00,73181500
MT01,Truck & Bus Division,SF0211018,SCREW FTCS CR M6X1X16X6.6,,,CV,Commercial Vehicles & Common Parts,6.00,73181500
MT01,Truck & Bus Division,SF0211021,SCREW FTCSCR M8X1.25X16X8.8,,,,,6.00,73181500
MT01,Truck & Bus Division,6104KAA00090N,J SPIRE ST6.3,6104KAA00360N,J SPIRE ST6.3,,,6.00,87089900
MT01,Truck & Bus Division,SF0201029,SCREW HEX M8X1.25X35X8.8XZN,,,,,6.00,73181500
MT01,Truck & Bus Division,SF0211027,SCREW FTCS CR SL M5X0 8X16X8 8,,,PV,Passenger Vehicles and Common Parts,6.00,73181500
MT01,Truck & Bus Division,6604BAS00320N,O RING REVERSE IDLER,,,,,6.00,40169320
MT01,Truck & Bus Division,SF0300005,NUT SPECIAL FL SER M8X1.25X8X8XGR.,,,CV,Commercial Vehicles & Common Parts,6.00,73181600
MT01,Truck & Bus Division,6104KAA00350N,CHRISMAS CLIP DIA 8.0,6104KAC00070N,CHRISMAS CLIP DIA 8.0,,,6.00,87089900
MT01,Truck & Bus Division,SF0301005,NUT HEX M6X1X5X8XZN,,,CV,Commercial Vehicles & Common Parts,6.00,73181600
MT01,Truck & Bus Division,SF0301011,HEX NUT M10,,,CV,Commercial Vehicles & Common Parts,6.00,73181600
MT01,Truck & Bus Division,SF0301014,NUT HEX M10X1.5X8X10XZN,,,CV,Commercial Vehicles & Common Parts,6.00,73181600
MT01,Truck & Bus Division,SF0301025,NUT HEX M6X1X5X8XGR,,,CV,Commercial Vehicles & Common Parts,6.00,73181600
MT01,Truck & Bus Division,SF0401015,THRUST WASHER 28X12.2X1.6,,,S1T,Sub one Ton,6.00,73182200
MT01,Truck & Bus Division,SF0401007,"WASHER,DECOMP HOLDER",,,CV,Commercial Vehicles & Common Parts,6.00,73182200
MT01,Truck & Bus Division,SF0301068,NUT HEX M12X1.25X10.2X8,,,,,6.00,73181600
MT01,Truck & Bus Division,SF0302002,NUT NYLOC M6X1X8X5XZN0.9XZN,,,S1T,Sub One Ton,6.00,73181600
